week,store,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,income1,income2,income3,income4,income5,income6,income7,income8,income9,income10,income11,mkt_share1,mkt_share2,mkt_share3,mkt_share4,mkt_share5,mkt_share6,mkt_share7,mkt_share8,mkt_share9,mkt_share10,mkt_share11,branded1,branded2,branded3,branded4,branded5,branded6,branded7,branded8,branded9,branded10,branded11,prom1,prom2,prom3,prom4,prom5,prom6,prom7,prom8,prom9,prom10,prom11
1,77,3.29,4.6599998,6.8800001,2.6700001,4.9699998,7.9899998,2.1900001,3.49,3.97,1.8200001,4.4899998,10.98312,10.98312,10.98312,10.98312,10.98312,10.98312,10.98312,10.98312,10.98312,10.98312,10.98312,.042491198,.063736796,.03338594,.051596455,.0091052568,.018210514,.006070171,.0030350855,.015175428,.039456114,.0030350855,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,78,3.3,4.8699999,6.9499998,2.6700001,4.9699998,7.9899998,3.1500001,3.49,3.97,1.79,4.4899998,10.95918,10.95918,10.95918,10.95918,10.95918,10.95918,10.95918,10.95918,10.95918,10.95918,10.95918,.031823181,.049181275,.026037145,.034716196,.020251114,.0057860324,.0086790491,.0057860324,.0086790491,.043395244,.0028930162,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,80,3.26,4.73,6.98,2.6700001,4.9699998,7.9899998,2.55,3.49,3.97,1.74,4.4899998,10.90951,10.90951,10.90951,10.90951,10.90951,10.90951,10.90951,10.90951,10.90951,10.90951,10.90951,.02617801,.056383409,.040273864,.030205397,.022150625,.0080547724,.0080547724,.0040273862,.016109545,.036246475,.0020136931,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,81,3.3199999,4.6399999,6.79,2.6700001,4.9699998,7.9899998,3.6300001,3.49,3.97,1.8200001,4.4899998,10.71994,10.71994,10.71994,10.71994,10.71994,10.71994,10.71994,10.71994,10.71994,10.71994,10.71994,.033992022,.083846994,.029459754,.033992022,.013596809,.013596809,.0022661348,.0045322697,.020395214,.024927484,.0022661348,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,83,3.3099999,4.7199998,7.0500002,2.6700001,4.9699998,7.9899998,2.6700001,3.49,3.97,1.73,4.4899998,10.45608,10.45608,10.45608,10.45608,10.45608,10.45608,10.45608,10.45608,10.45608,10.45608,10.45608,.042758796,.051310558,.014965579,.042758796,.014965579,.0085517596,.0064138197,.010689699,.010689699,.044896737,.0021379399,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,84,3.29,4.8200002,6.52,2.6700001,4.9699998,7.9899998,2.6700001,3.49,3.97,1.85,4.4899998,10.76562,10.76562,10.76562,10.76562,10.76562,10.76562,10.76562,10.76562,10.76562,10.76562,10.76562,.058651026,.029325513,.048875857,.029325513,.026067123,.0065167807,.0097751711,.016291952,.022808732,.035842296,.0032583904,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,86,3.28,4.5700002,6.6100001,2.6700001,4.9699998,7.9899998,2.48,3.5699999,4.0100002,1.87,4.4899998,10.08897,10.08897,10.08897,10.08897,10.08897,10.08897,10.08897,10.08897,10.08897,10.08897,10.08897,.040963855,.055421688,.028915662,.05060241,.0096385544,.014457831,.012048192,.0024096386,.0024096386,.019277109,.0024096386,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,89,3.3299999,4.9000001,6.1599998,2.6700001,4.9699998,7.9899998,2.1900001,3.49,3.97,1.71,4.4899998,10.30812,10.30812,10.30812,10.30812,10.30812,10.30812,10.30812,10.30812,10.30812,10.30812,10.30812,.023686578,.028423894,.016580606,.033161212,.0047373157,.0047373157,.0094746314,.0023686578,.026055237,.023686578,.0023686578,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,90,3.3699999,4.6700001,7.0100002,2.6700001,4.9699998,8.2200003,2.1900001,3.49,3.97,1.79,4.4899998,10.50466,10.50466,10.50466,10.50466,10.50466,10.50466,10.50466,10.50466,10.50466,10.50466,10.50466,.012366289,.055648305,.018549435,.03709887,.0092747174,.0030915723,.0030915723,.0092747174,.012366289,.024732579,.0030915723,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,91,3.3099999,4.8699999,6.6399999,2.6700001,4.9699998,7.9899998,3.1500001,3.5699999,3.97,1.83,4.4899998,10.53845,10.53845,10.53845,10.53845,10.53845,10.53845,10.53845,10.53845,10.53845,10.53845,10.53845,.022756826,.029258778,.022756826,.035760727,.0065019508,.0097529255,.0097529255,.0032509754,.016254876,.032509752,.0032509754,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,92,3.3299999,4.6100001,6.9000001,2.6700001,4.9699998,7.9899998,2.48,3.49,3.97,1.8200001,4.4899998,10.6578,10.6578,10.6578,10.6578,10.6578,10.6578,10.6578,10.6578,10.6578,10.6578,10.6578,.058570869,.03067998,.036258157,.03067998,.002789089,.002789089,.013945445,.002789089,.022312712,.047414515,.002789089,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,93,3.3900001,4.9400001,7.5500002,3.01,4.9699998,7.9899998,2.9100001,3.49,3.97,1.8,4.4899998,10.36719,10.36719,10.36719,10.36719,10.36719,10.36719,10.36719,10.36719,10.36719,10.36719,10.36719,.023281081,.023281081,.025867866,.043975376,.01552072,.01552072,.023281081,.0051735733,.012933933,.049148947,.0025867866,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,94,3.26,4.6199999,7.0500002,2.6700001,4.9699998,7.9899998,2.48,3.49,3.97,1.8,4.4899998,10.74452,10.74452,10.74452,10.74452,10.74452,10.74452,10.74452,10.74452,10.74452,10.74452,10.74452,.049078416,.021812629,.035445523,.040898681,.016359473,.0081797363,.013632894,.0027265786,.010906314,.024539208,.0027265786,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,95,3.3900001,4.8899999,6.9299998,3.01,4.9699998,7.9899998,2.55,3.49,3.97,1.8200001,4.4899998,10.38347,10.38347,10.38347,10.38347,10.38347,10.38347,10.38347,10.38347,10.38347,10.38347,10.38347,.044706725,.032784931,.01788269,.023843586,.014902242,.0029804483,.01788269,.0059608966,.014902242,.03576538,.0029804483,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,97,3.3499999,4.8699999,7.1500001,2.6700001,4.9699998,7.9899998,3.1500001,3.5699999,3.97,1.83,4.4899998,10.48375,10.48375,10.48375,10.48375,10.48375,10.48375,10.48375,10.48375,10.48375,10.48375,10.48375,.037891835,.034447122,.027557699,.027557699,.024112986,.0068894248,.010334137,.0034447124,.020668274,.058560111,.0034447124,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,98,3.3499999,4.1199999,6.5900002,2.6700001,4.9699998,7.9899998,2.3699999,2.99,3.97,1.75,4.4899998,10.5736,10.5736,10.5736,10.5736,10.5736,10.5736,10.5736,10.5736,10.5736,10.5736,10.5736,.024914498,.088333219,.02378202,.026046975,.02378202,.0033974315,.0090598175,.0045299088,.024914498,.038504224,.0011324772,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100,3.3399999,4.4000001,6.6500001,3.01,4.9699998,7.9899998,2.3299999,3.45,3.97,1.8,4.4899998,10.03658,10.03658,10.03658,10.03658,10.03658,10.03658,10.03658,10.03658,10.03658,10.03658,10.03658,.025630511,.076891534,.030756613,.032465313,.013669605,.0051261019,.0034174013,.0051261019,.011960905,.041008815,.0017087007,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
